TIME;DAY;DATE;LEAGUE;HOME;AWAY;SOCCER_ID;MERKUR_ID;MOZ_ID;BET_ID;MDI_ID;S_1;S_X;S_2;S_0-2;S_2+;S_3+;S_GG;S_IGG;S_GG&3+;M_1;M_X;M_2;M_0-2;M_2+;M_3+;M_GG;M_IGG;M_GG&3+;MOZ_1;MOZ_X;MOZ_2;MOZ_0-2;MOZ_2+;MOZ_3+;MOZ_GG;MOZ_IGG;MOZ_GG&3+;BET_1;BET_X;BET_2;BET_0-2;BET_2+;BET_3+;BET_GG;BET_IGG;BET_GG&3+;MDI_1;MDI_X;MDI_2;MDI_0-2;MDI_2+;MDI_3+;MDI_GG;MDI_IGG;MDI_GG&3+;SWAP_M;SWAP_MOZ;SWAP_BET;SWAP_MDI
12:30;Ned;19.10.;ITA1;Como;Juventus;3304;;523;;;3.15;3.25;2.4;1.77;1.35;2.05;1.8;4.95;2.35;;;;;;;;;;2.9;3.15;2.55;1.62;1.38;2.19;;;;;;;;;;;;;;;;;;;;;;;;;
12:30;Ned;19.10.;DAN1W;Brondby Wom.;Aarhus Wom.;504;;;;;1.37;4.55;7.4;2.0;1.23;1.73;2.05;5.1;2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12:30;Ned;19.10.;ITA1W;Napoli Wom.;Roma Wom.;504;;407;;;10.0;5.15;1.26;2.45;1.13;1.48;1.85;4.4;2.05;;;;;;;;;;8.0;5.3;1.3;2.41;1.17;1.5;;;;;;;;;;;;;;;;;;;;;;;;;
12:30;Ned;19.10.;ITA3;Campobasso;Ternana;504;;523;;;3.05;3.0;2.35;1.53;1.45;2.33;1.98;5.5;2.55;;;;;;;;;;3.35;3.05;2.2;1.53;1.5;2.35;;;;;;;;;;;;;;;;;;;;;;;;;
12:30;Ned;19.10.;ITA3;Casertana;Siracusa;504;;523;;;1.87;3.2;4.15;1.6;1.4;2.18;1.98;5.4;2.5;;;;;;;;;;1.8;3.35;4.4;1.6;1.4;2.2;;;;;;;;;;;;;;;;;;;;;;;;;
12:30;Ned;19.10.;NOR3;Grorud;Rana;504;;337;;;1.23;6.05;9.5;3.65;1.04;1.24;1.55;3.3;1.65;;;;;;;;;;1.22;6.25;9.5;3.2;1.04;1.25;;;;;;;;;;;;;;;;;;;;;;;;;
12:30;Ned;19.10.;TUR2;Keciorengucu;Sivasspor;504;;523;;;2.17;3.25;3.15;1.8;1.29;1.9;1.73;4.45;2.12;;;;;;;;;;2.25;3.3;3.0;1.8;1.29;1.9;;;;;;;;;;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;BIH2;BSK Banja Luka;Drina Zvornik;;;;;;1.3;4.7;7.7;2.15;1.18;1.62;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;ČEŠ1;Ostrava;Hradec Kralove;2550;;;813;;2.2;3.45;3.15;1.85;1.27;1.85;1.7;4.3;2.12;;;;;;;;;;;;;;;;;;;2.3;3.3;3.0;1.92;;1.8;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;ENGKW;Charlton Wom.;Portsmouth Wom.;498;;407;625;;1.24;5.5;10.4;2.3;1.15;1.55;2.1;5.0;2.33;;;;;;;;;;1.25;5.5;9.0;;;;;;;1.22;5.2;10.0;2.3;;1.53;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;GRČ2;Giannina;Kampaniakos;501;;523;636;;1.8;3.45;4.15;1.8;1.29;1.9;1.8;4.65;2.2;;;;;;;;;;1.65;3.6;5.1;1.76;1.3;1.95;;;;1.81;3.45;3.75;2.0;;1.71;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;GRČ2;Kallithea;Kalamata;504;;523;;;4.0;3.1;1.95;1.5;1.47;2.4;2.1;5.85;2.75;;;;;;;;;;3.4;3.2;2.1;1.6;1.4;2.2;;;;;;;;;;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;GRČ2;Karditsa;Asteras Tripolis B;504;;;634;;2.02;3.1;3.75;1.62;1.4;2.15;1.9;5.2;2.5;;;;;;;;;;;;;;;;;;;2.0;3.1;3.5;1.61;;2.15;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;GRČ2;PAE Egaleo;Panionios;504;;523;628;;5.2;3.4;1.67;1.53;1.45;2.35;2.25;6.2;2.9;;;;;;;;;;6.0;3.45;1.6;1.53;1.5;2.35;;;;4.85;3.35;1.67;1.53;;2.3;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;ITAPV;Roma U20;Cagliari U20;504;;;;;1.62;3.85;4.85;1.92;1.25;1.78;1.82;4.55;2.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;ITAPV;Lecce U20;Sassuolo U20;499;;;636;;2.6;3.55;2.4;1.97;1.23;1.75;1.63;4.0;1.95;;;;;;;;;;;;;;;;;;;2.5;3.25;2.47;1.93;;1.71;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;KMB1;Tiffy Army;Svay Rieng;504;;;629;;10.9;5.9;1.18;3.25;1.06;1.29;1.75;3.85;1.85;;;;;;;;;;;;;;;;;;;9.5;6.1;1.19;3.25;;1.28;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;MAĐ2;Karcagi;Csakvari;504;;;638;;2.2;3.4;2.95;1.85;1.27;1.85;1.7;4.25;2.05;;;;;;;;;;;;;;;;;;;2.2;3.2;2.95;1.83;;1.85;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;NOR3;Alta;Eidsvold TF;504;;523;;;2.55;4.15;2.22;3.55;1.04;1.25;1.27;2.65;1.4;;;;;;;;;;2.65;3.8;2.2;2.9;1.05;1.3;;;;;;;;;;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;NOR3;Ull/Kisa;Tromsdalen;504;;523;821;;3.1;3.85;1.98;2.65;1.11;1.42;1.4;3.15;1.6;;;;;;;;;;2.95;3.8;2.0;2.5;1.08;1.4;;;;3.0;3.9;1.93;2.9;;1.35;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;NOR4;Ranheim 2;Molde 2;;;;;;2.0;4.3;2.65;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;ŠKO1;Dundee;Celtic;2437;;523;797;;12.3;6.65;1.2;2.65;1.1;1.43;2.02;4.65;2.28;;;;;;;;;;12.0;6.5;1.22;2.7;1.1;1.4;;;;13.0;7.1;1.17;2.88;;1.36;;;;;;;;;;;;;;;;
13:00;Ned;19.10.;ŠPA4;Las Palmas B;RSD Alcala;504;;523;;;2.2;3.0;3.1;1.58;1.4;2.23;1.95;5.3;2.5;;;;;;;;;;2.25;3.05;3.25;1.53;1.5;2.35;;;;;;;;;;;;;;;;;;;;;;;;;
