TIME;HOME;AWAY;MATCH_ID;1;X;2;UG_0_2;UG_3_PLUS;UG_4_PLUS;GG;I_GG;GG_3_PLUS
23:30;Carabobo;Metropolitanos;753;1.5;3.95;6.0;1.83;1.85;3.25;2.0;5.45;2.55
00:00;Bahia;Internacional;784;1.82;3.35;4.65;1.75;2.05;3.7;1.93;5.3;2.55
00:00;Atl. Tucuman Res.;Godoy Cruz Res.;;2.0;3.25;3.55;1.65;2.1;3.9;1.88;;
00:00;Defence Force FC;Mount Pleasant;391;3.1;3.35;2.13;2.03;1.7;2.75;1.63;4.3;2.0
00:00;Rancho Santana;Ferretti;390;3.95;3.9;1.67;2.35;1.5;2.32;1.5;3.85;1.8
00:30;Huracan;Cent. Cordoba;761;2.23;2.8;3.9;1.3;3.4;7.9;2.68;8.0;4.3
00:30;Guarani As.;River Plate As.;753;1.5;3.65;5.6;1.7;2.0;3.6;2.1;5.75;2.75
00:30;HFX Wanderers;York Utd;389;2.15;3.25;3.0;1.9;1.75;3.0;1.62;4.45;2.1
00:45;Club Tijuana U21;Toluca U21;390;2.95;3.2;2.17;1.67;2.03;3.7;1.8;5.0;2.42
01:00;Atl. Nacional;Once Caldas;753;1.45;4.15;6.4;1.88;1.8;3.1;2.0;5.35;2.5
01:00;Guayaquil SC;Emelec;390;3.0;3.25;2.23;1.62;2.13;4.0;1.87;5.25;2.55
01:30;Dep. Tachira;Caracas;753;1.67;3.45;4.9;1.65;2.1;3.9;2.05;5.7;2.75
02:00;Miguelito;Plaza Amador;734;3.65;2.65;2.28;1.27;3.4;8.0;2.62;8.0;4.25
02:00;Diriangen;Matagalpa FC;383;1.2;6.0;9.5;2.9;1.35;1.9;1.77;4.35;2.03
02:00;Ad Aserri;Pitbulls;761;2.45;3.0;2.72;1.6;2.15;4.0;1.85;5.25;2.57
02:30;Flamengo RJ;Racing Club;769;1.37;4.4;9.5;1.67;2.18;4.1;2.7;7.1;3.5
02:30;Chicago;Orlando City;802;2.12;3.8;3.1;2.6;1.52;2.27;1.47;3.55;1.72
03:00;Pachuca;Tigres;796;2.7;3.35;2.5;1.95;1.85;3.15;1.67;4.45;2.13
03:00;Queretaro;Guadalajara;785;4.95;3.4;1.73;1.75;2.05;3.7;1.97;5.25;2.57
03:30;Aguila;FAS;765;2.37;3.05;2.78;1.7;2.0;3.6;1.75;4.9;2.37
04:00;Sacramento Rep.;Charleston;770;2.6;3.45;2.42;1.85;1.85;3.2;1.65;4.55;2.17
04:00;Real Espana;Xelaju;759;1.95;3.25;3.8;1.65;2.07;3.8;1.88;5.25;2.52
04:00;Managua FC;Esteli;388;3.4;3.15;2.0;1.65;2.1;3.85;1.87;5.25;2.55
04:30;Portland;Salt Lake;804;2.2;3.6;3.05;2.28;1.65;2.62;1.57;4.0;1.9
05:00;Atlas;Leon;797;2.55;3.6;2.5;2.28;1.63;2.55;1.53;3.85;1.85
05:00;Club Tijuana;Toluca;802;2.85;3.9;2.17;2.9;1.4;2.0;1.38;3.2;1.57
05:05;UNAM Pumas;Atl. San Luis;788;1.82;3.65;4.05;1.87;1.92;3.35;1.8;4.85;2.28
12:00;Kaya;Pathum United;746;6.25;3.95;1.48;1.92;1.77;2.95;2.0;5.25;2.45
12:00;Tai Po;Beijing Guoan;764;4.65;3.7;1.65;2.03;1.7;2.75;1.75;4.6;2.12
12:00;Tampines;Pohang;759;6.0;3.95;1.5;1.97;1.73;2.85;1.93;5.0;2.32
12:00;Ethiopia Bunna;Negele Arsi Ketema;;1.67;3.3;4.9;1.42;2.6;5.45;2.45;;
14:15;Bangkok Utd;Lion City;777;1.77;3.9;3.75;2.5;1.45;2.13;1.48;3.65;1.7
14:15;Cong An Ha Noi;Macarthur FC;774;1.65;4.1;4.2;2.6;1.43;2.07;1.5;3.7;1.72
14:15;Persib Bandung;Selangor;768;1.7;3.95;4.05;2.45;1.47;2.2;1.53;3.8;1.75
14:30;Abu Qir Semad;Maleyet Kafr El Zayiat;379;1.23;4.7;11.0;1.85;1.83;3.15;2.68;7.0;3.4
14:30;Al-Sekka;Al Qanah;380;3.45;2.37;2.42;1.3;3.05;6.9;2.42;7.3;3.9
14:30;Asyut Petroleum;Proxy;383;2.85;2.27;2.9;1.32;3.0;6.6;2.35;7.1;3.75
14:30;Baladiyyat Mehalla;FC Masar;386;3.4;2.85;2.17;1.47;2.4;4.9;2.07;6.1;3.0
14:30;El-Entag El-Harby;El Daklyeh;384;2.8;2.62;2.72;1.32;2.95;6.5;2.33;7.0;3.65
14:30;Tanta;Aswan FC;376;2.4;2.65;3.15;1.3;3.15;7.2;2.47;7.5;3.9
15:00;Xorazm Urganch;Pakhtakor;383;9.25;4.55;1.32;1.65;2.07;3.85;2.65;7.1;3.45
15:30;Buxoro;Sogdiana;390;2.68;3.25;2.45;1.87;1.82;3.15;1.65;4.55;2.15
16:55;Al Riyadh;Al Kholood;793;2.6;3.2;2.55;1.85;1.85;3.2;1.67;4.6;2.18
17:00;OLS Oulu;KaPa;393;2.45;3.85;2.45;2.75;1.4;2.0;1.35;3.3;1.6
