TIME;DAY;DATE;LEAGUE;HOME;AWAY;MATCH_ID;1;X;2;0-2;2+;3+;GG;IGG;GG&3+
09:30;Sub;25.10.;ITAP2;Benevento U19;Crotone U19;500;1.45;4.15;5.55;2.25;1.17;1.57;1.7;4.1;1.95
09:30;Sub;25.10.;ITAP2;Sampdoria U19;Brescia U19;501;1.85;3.6;3.45;1.95;1.23;1.75;1.7;4.15;2.02
10:00;Sub;25.10.;AFCCL;Safa;Al Arabi SC;501;5.0;3.65;1.65;1.7;1.34;2.02;2.02;5.3;2.5
10:00;Sub;25.10.;BUG1;Botev Vratsa;Septemvri Sofia;528;1.85;3.3;4.15;1.62;1.38;2.15;1.98;5.3;2.5
10:00;Sub;25.10.;ČEŠ19;Pardubice U19;Ostrava U19;;2.8;3.5;2.15;2.35;1.15;1.52;1.47;;
10:00;Sub;25.10.;ENG21;Blackburn U21;Manchester City U21;501;5.65;5.1;1.35;3.55;1.04;1.25;1.45;3.05;1.55
10:00;Sub;25.10.;LET2;Alberts JDFS;Tukums 2000 2;496;1.18;5.95;10.3;2.95;1.08;1.35;1.9;4.3;2.05
10:00;Sub;25.10.;POR2;Leiria;Leixoes;501;2.1;3.25;3.3;1.65;1.35;2.1;1.88;4.95;2.35
10:00;Sub;25.10.;POR2;Sporting CP B;Lusitania FC;501;2.35;3.1;3.0;1.7;1.35;2.05;1.8;4.8;2.25
10:00;Sub;25.10.;POR23;Estoril U23;Benfica U23;499;7.2;4.6;1.37;2.32;1.15;1.53;1.77;4.2;2.0
10:00;Sub;25.10.;PRIW;Hong Kong Wom.;Malaysia Wom.;500;1.52;3.9;5.8;1.9;1.25;1.8;1.87;4.75;2.22
10:00;Sub;25.10.;TUR3;Yeni Malatyaspor;1461 Trabzon;;15.5;7.1;1.1;3.55;1.04;1.25;2.0;;
10:00;Sub;25.10.;TUR4;Fatsa Belediyespor;Giresunspor;500;1.5;3.7;5.95;1.8;1.29;1.9;2.0;5.2;2.4
10:00;Sub;25.10.;UKR1;Metalist 1925;LNZ Cherkasy;500;2.55;3.0;2.8;1.45;1.5;2.5;2.1;5.9;2.8
